t,H2O2,OH,HO2,H2O,O2
3.8000000000000007,521215658403415.9,33491355303.40281,2037291781534.7085,2716916404601.495,326974808017.2833
4.0,521211263635830.0,26453580854.5313,2037503060290.479,2723864676283.473,329528312113.3562
4.200000000000003,521208044944540.4,20894841311.748894,2036822615531.2395,2729352720800.257,331797665340.62024
4.400000000000002,521205754127756.5,16504564292.813236,2035440865698.05,2733687157496.0347,333841285252.5121
4.600000000000001,521204195130401.4,13037230523.923222,2033508022934.7534,2737110382967.2563,335705513368.6865
4.800000000000001,521203213110471.9,10298822159.943562,2031142611385.7227,2739813948671.391,337427059143.366
5.0,521202685788419.6,8136063895.977049,2028438169840.976,2741949182080.041,339034970499.75726
5.200000000000003,521202516605477.5,6427891954.013642,2025468530804.1738,2743635608751.902,340552214229.4338
5.400000000000002,521202629316491.1,5078698596.655106,2022291979481.1086,2744967621715.841,341996938207.01215
5.600000000000001,521202963717382.2,4012986510.4992437,2018954532350.1692,2746019759049.2646,343383476431.49176
5.800000000000001,521203472270438.7,3171142033.490241,2015492522291.0493,2746850876908.255,344723147346.9602
6.0,521204117439182.4,2506094607.509687,2011934637645.224,2747507447631.3975,346024886813.79095
6.200000000000003,521204869583911.9,1980677643.873989,2008303530957.2944,2748026165359.0522,347295749270.98596
6.400000000000002,521205705300131.2,1565544123.2816467,2004617088481.4663,2748436003971.028,348541304102.1814
6.600000000000001,521206606106719.0,1237520648.6075623,2000889432183.7202,2748759842141.1475,349765948860.06665
6.800000000000001,521207557410243.1,978307898.0096867,1997131710744.6812,2749015746389.282,350973156632.25543
7.0,521208547687293.7,773454676.4682235,1993352724085.3164,2749217984007.112,352165671300.81323
7.200000000000003,521209567838925.0,611548000.2482325,1989559416525.2192,2749377822691.9834,353345661617.0398
7.400000000000002,521210610680960.3,483573740.3748962,1985757266255.025,2749504161785.5938,354514842745.886
7.600000000000001,521211670541551.1,382411908.4281133,1981950592958.392,2749604030578.5283,355674572129.74426
7.800000000000001,521212742943401.1,302438218.23897505,1978142800814.7605,2749682981687.3037,356825925088.48694
8.0,521213824352829.0,239209539.30522138,1974336570474.3657,2749745401604.261,357969754433.2036
8.200000000000003,521214911981597.1,189215562.20639962,1970534010739.1196,2749794755875.8286,359106737472.77814
8.400000000000002,521216003630401.5,149682731.73452646,1966736778416.0774,2749833782676.6084,360237413078.0288
8.600000000000001,521217097565253.6,118419433.78264356,1962946173032.9675,2749864645653.572,361362210907.15247
8.8,521218192419834.6,93693750.26903057,1959163211693.5454,2749889054615.898,362481474450.32043
9.0,521219287118358.0,74136921.85640112,1955388688243.6348,2749908360843.656,363595479201.6734
9.200000000000003,521220380814632.1,58667107.79946858,1951623220039.5825,2749923632357.3394,364704446989.4447
